rho,tau,selected_k,is_upper_half
1.05,1e-12,8,True
1.05,1.4125375446227555e-12,8,True
1.05,1.9952623149688827e-12,8,True
1.05,2.8183829312644492e-12,8,True
1.05,3.9810717055349695e-12,8,True
1.05,5.6234132519034904e-12,8,True
1.05,7.943282347242821e-12,8,True
1.05,1.1220184543019653e-11,8,True
1.05,1.5848931924611107e-11,8,True
1.05,2.2387211385683377e-11,8,True
1.05,3.1622776601683794e-11,8,True
1.05,4.4668359215096346e-11,8,True
1.05,6.309573444801942e-11,8,True
1.05,8.912509381337441e-11,8,True
1.05,1.2589254117941662e-10,8,True
1.05,1.778279410038923e-10,8,True
1.05,2.511886431509582e-10,8,True
1.05,3.5481338923357605e-10,8,True
1.05,5.011872336272714e-10,8,True
1.05,7.079457843841373e-10,8,True
1.05,1e-09,8,True
1.05,1.4125375446227555e-09,8,True
1.05,1.9952623149688828e-09,8,True
1.05,2.8183829312644493e-09,8,True
1.05,3.981071705534969e-09,8,True
1.05,5.623413251903491e-09,8,True
1.05,7.943282347242822e-09,8,True
1.05,1.122018454301963e-08,8,True
1.05,1.584893192461114e-08,8,True
1.05,2.2387211385683378e-08,8,True
1.05,3.162277660168379e-08,8,True
1.05,4.4668359215096253e-08,8,True
1.05,6.30957344480193e-08,8,True
1.05,8.912509381337459e-08,8,True
1.05,1.2589254117941662e-07,8,True
1.05,1.7782794100389227e-07,8,True
1.05,2.511886431509577e-07,8,True
1.05,3.548133892335753e-07,8,True
1.05,5.011872336272725e-07,8,True
1.05,7.079457843841374e-07,8,True
1.05,1e-06,8,True
1.05,1.4125375446227524e-06,8,True
1.05,1.9952623149688787e-06,8,True
1.05,2.818382931264455e-06,8,True
1.05,3.981071705534969e-06,8,True
1.05,5.623413251903491e-06,8,True
1.05,7.943282347242805e-06,8,True
1.05,1.122018454301963e-05,8,True
1.05,1.5848931924611107e-05,8,True
1.05,2.238721138568338e-05,8,True
1.05,3.1622776601683795e-05,8,True
1.05,4.466835921509625e-05,8,True
1.05,6.309573444801929e-05,8,True
1.05,8.912509381337441e-05,8,True
1.05,0.0001258925411794166,8,True
1.05,0.00017782794100389227,8,True
1.05,0.0002511886431509582,8,True
1.05,0.00035481338923357456,8,True
1.05,0.0005011872336272714,8,True
1.05,0.0007079457843841374,8,True
1.05,0.001,8,True
1.05,0.0014125375446227555,8,True
1.05,0.0019952623149688746,8,True
1.05,0.002818382931264449,8,True
1.05,0.003981071705534969,8,True
1.05,0.005623413251903491,8,True
1.05,0.00794328234724282,8,True
1.05,0.011220184543019606,8,True
1.05,0.01584893192461111,8,True
1.05,0.022387211385683378,8,True
1.05,0.03162277660168379,8,True
1.05,0.04466835921509635,8,True
