rho_lower,rho_upper,log10_tau_lower,log10_tau_upper,certified,selected_k
1.05,1.0895000000000001,-12.0,-11.85,False,-1
1.05,1.0895000000000001,-11.85,-11.7,False,-1
1.05,1.0895000000000001,-11.7,-11.55,False,-1
1.05,1.0895000000000001,-11.55,-11.4,False,-1
1.05,1.0895000000000001,-11.4,-11.25,False,-1
1.05,1.0895000000000001,-11.25,-11.1,False,-1
1.05,1.0895000000000001,-11.1,-10.95,False,-1
1.05,1.0895000000000001,-10.95,-10.8,False,-1
1.05,1.0895000000000001,-10.8,-10.65,False,-1
1.05,1.0895000000000001,-10.65,-10.5,False,-1
1.05,1.0895000000000001,-10.5,-10.35,False,-1
1.05,1.0895000000000001,-10.35,-10.2,False,-1
1.05,1.0895000000000001,-10.2,-10.05,False,-1
1.05,1.0895000000000001,-10.05,-9.9,False,-1
1.05,1.0895000000000001,-9.9,-9.75,False,-1
1.05,1.0895000000000001,-9.75,-9.6,False,-1
1.05,1.0895000000000001,-9.6,-9.45,False,-1
1.05,1.0895000000000001,-9.45,-9.3,False,-1
1.05,1.0895000000000001,-9.3,-9.15,False,-1
1.05,1.0895000000000001,-9.15,-9.0,False,-1
1.05,1.0895000000000001,-9.0,-8.85,False,-1
1.05,1.0895000000000001,-8.85,-8.7,False,-1
1.05,1.0895000000000001,-8.7,-8.55,False,-1
1.05,1.0895000000000001,-8.55,-8.4,False,-1
1.05,1.0895000000000001,-8.4,-8.25,False,-1
1.05,1.0895000000000001,-8.25,-8.1,False,-1
1.05,1.0895000000000001,-8.1,-7.95,False,-1
1.05,1.0895000000000001,-7.95,-7.8,False,-1
1.05,1.0895000000000001,-7.8,-7.65,False,-1
1.05,1.0895000000000001,-7.65,-7.5,False,-1
1.05,1.0895000000000001,-7.5,-7.3500000000000005,False,-1
1.05,1.0895000000000001,-7.3500000000000005,-7.2,False,-1
1.05,1.0895000000000001,-7.2,-7.05,False,-1
1.05,1.0895000000000001,-7.05,-6.9,False,-1
1.05,1.0895000000000001,-6.9,-6.75,False,-1
1.05,1.0895000000000001,-6.75,-6.6000000000000005,False,-1
1.05,1.0895000000000001,-6.6000000000000005,-6.45,False,-1
1.05,1.0895000000000001,-6.45,-6.3,False,-1
1.05,1.0895000000000001,-6.3,-6.15,False,-1
1.05,1.0895000000000001,-6.15,-6.0,False,-1
1.05,1.0895000000000001,-6.0,-5.8500000000000005,False,-1
1.05,1.0895000000000001,-5.8500000000000005,-5.7,False,-1
1.05,1.0895000000000001,-5.7,-5.55,False,-1
1.05,1.0895000000000001,-5.55,-5.4,False,-1
1.05,1.0895000000000001,-5.4,-5.25,False,-1
1.05,1.0895000000000001,-5.25,-5.1000000000000005,False,-1
1.05,1.0895000000000001,-5.1000000000000005,-4.95,False,-1
1.05,1.0895000000000001,-4.95,-4.800000000000001,False,-1
1.05,1.0895000000000001,-4.800000000000001,-4.65,False,-1
1.05,1.0895000000000001,-4.65,-4.5,False,-1
1.05,1.0895000000000001,-4.5,-4.3500000000000005,False,-1
1.05,1.0895000000000001,-4.3500000000000005,-4.2,False,-1
1.05,1.0895000000000001,-4.2,-4.050000000000001,False,-1
1.05,1.0895000000000001,-4.050000000000001,-3.9000000000000004,False,-1
1.05,1.0895000000000001,-3.9000000000000004,-3.75,False,-1
1.05,1.0895000000000001,-3.75,-3.5999999999999996,False,-1
1.05,1.0895000000000001,-3.5999999999999996,-3.450000000000001,False,-1
1.05,1.0895000000000001,-3.450000000000001,-3.3000000000000007,False,-1
1.05,1.0895000000000001,-3.3000000000000007,-3.1500000000000004,False,-1
1.05,1.0895000000000001,-3.1500000000000004,-3.0,False,-1
1.05,1.0895000000000001,-3.0,-2.8499999999999996,False,-1
1.05,1.0895000000000001,-2.8499999999999996,-2.700000000000001,False,-1
1.05,1.0895000000000001,-2.700000000000001,-2.5500000000000007,False,-1
1.05,1.0895000000000001,-2.5500000000000007,-2.4000000000000004,False,-1
1.05,1.0895000000000001,-2.4000000000000004,-2.25,False,-1
1.05,1.0895000000000001,-2.25,-2.0999999999999996,False,-1
1.05,1.0895000000000001,-2.0999999999999996,-1.950000000000001,False,-1
1.05,1.0895000000000001,-1.950000000000001,-1.8000000000000007,False,-1
1.05,1.0895000000000001,-1.8000000000000007,-1.6500000000000004,False,-1
1.05,1.0895000000000001,-1.6500000000000004,-1.5,False,-1
1.05,1.0895000000000001,-1.5,-1.3499999999999996,False,-1
1.05,1.0895000000000001,-1.3499999999999996,-1.200000000000001,False,-1
1.05,1.0895000000000001,-1.200000000000001,-1.0500000000000007,False,-1
1.05,1.0895000000000001,-1.0500000000000007,-0.9000000000000004,False,-1
1.05,1.0895000000000001,-0.9000000000000004,-0.75,False,-1
1.05,1.0895000000000001,-0.75,-0.5999999999999996,False,-1
1.05,1.0895000000000001,-0.5999999999999996,-0.45000000000000107,False,-1
1.05,1.0895000000000001,-0.45000000000000107,-0.3000000000000007,False,-1
1.05,1.0895000000000001,-0.3000000000000007,-0.15000000000000036,False,-1
1.05,1.0895000000000001,-0.15000000000000036,0.0,False,-1
1.05,1.0895000000000001,0.0,0.15000000000000036,False,-1
1.05,1.0895000000000001,0.15000000000000036,0.29999999999999893,False,-1
1.05,1.0895000000000001,0.29999999999999893,0.4499999999999993,False,-1
1.05,1.0895000000000001,0.4499999999999993,0.5999999999999996,False,-1
1.05,1.0895000000000001,0.5999999999999996,0.75,False,-1
1.05,1.0895000000000001,0.75,0.9000000000000004,False,-1
1.05,1.0895000000000001,0.9000000000000004,1.049999999999999,False,-1
1.05,1.0895000000000001,1.049999999999999,1.1999999999999993,False,-1
1.05,1.0895000000000001,1.1999999999999993,1.3499999999999996,False,-1
1.05,1.0895000000000001,1.3499999999999996,1.5,False,-1
1.05,1.0895000000000001,1.5,1.6500000000000004,False,-1
1.05,1.0895000000000001,1.6500000000000004,1.799999999999999,False,-1
1.05,1.0895000000000001,1.799999999999999,1.9499999999999993,False,-1
1.05,1.0895000000000001,1.9499999999999993,2.0999999999999996,False,-1
1.05,1.0895000000000001,2.0999999999999996,2.25,False,-1
1.05,1.0895000000000001,2.25,2.3999999999999986,False,-1
1.05,1.0895000000000001,2.3999999999999986,2.549999999999999,False,-1
1.05,1.0895000000000001,2.549999999999999,2.6999999999999993,False,-1
1.05,1.0895000000000001,2.6999999999999993,2.8499999999999996,False,-1
1.05,1.0895000000000001,2.8499999999999996,3.0,False,-1
1.05,1.0895000000000001,3.0,3.1499999999999986,False,-1
1.05,1.0895000000000001,3.1499999999999986,3.299999999999999,False,-1
1.05,1.0895000000000001,3.299999999999999,3.4499999999999993,False,-1
1.05,1.0895000000000001,3.4499999999999993,3.5999999999999996,False,-1
1.05,1.0895000000000001,3.5999999999999996,3.75,False,-1
1.05,1.0895000000000001,3.75,3.8999999999999986,False,-1
1.05,1.0895000000000001,3.8999999999999986,4.050000000000001,False,-1
1.05,1.0895000000000001,4.050000000000001,4.199999999999999,False,-1
1.05,1.0895000000000001,4.199999999999999,4.349999999999998,False,-1
1.05,1.0895000000000001,4.349999999999998,4.5,False,-1
1.05,1.0895000000000001,4.5,4.649999999999999,False,-1
1.05,1.0895000000000001,4.649999999999999,4.800000000000001,False,-1
1.05,1.0895000000000001,4.800000000000001,4.949999999999999,False,-1
1.05,1.0895000000000001,4.949999999999999,5.099999999999998,False,-1
1.05,1.0895000000000001,5.099999999999998,5.25,False,-1
1.05,1.0895000000000001,5.25,5.399999999999999,False,-1
1.05,1.0895000000000001,5.399999999999999,5.550000000000001,False,-1
1.05,1.0895000000000001,5.550000000000001,5.699999999999999,False,-1
1.05,1.0895000000000001,5.699999999999999,5.849999999999998,False,-1
1.05,1.0895000000000001,5.849999999999998,6.0,False,-1
1.05,1.0895000000000001,6.0,6.149999999999999,False,-1
1.05,1.0895000000000001,6.149999999999999,6.300000000000001,False,-1
1.05,1.0895000000000001,6.300000000000001,6.449999999999999,False,-1
1.05,1.0895000000000001,6.449999999999999,6.599999999999998,False,-1
1.05,1.0895000000000001,6.599999999999998,6.75,False,-1
1.05,1.0895000000000001,6.75,6.899999999999999,False,-1
1.05,1.0895000000000001,6.899999999999999,7.050000000000001,False,-1
1.05,1.0895000000000001,7.050000000000001,7.199999999999999,False,-1
1.05,1.0895000000000001,7.199999999999999,7.349999999999998,False,-1
1.05,1.0895000000000001,7.349999999999998,7.5,False,-1
1.05,1.0895000000000001,7.5,7.649999999999999,True,0
1.05,1.0895000000000001,7.649999999999999,7.800000000000001,True,0
1.05,1.0895000000000001,7.800000000000001,7.949999999999999,True,0
1.05,1.0895000000000001,7.949999999999999,8.099999999999998,True,0
1.05,1.0895000000000001,8.099999999999998,8.25,True,0
1.05,1.0895000000000001,8.25,8.399999999999999,True,0
1.05,1.0895000000000001,8.399999999999999,8.55,True,0
1.05,1.0895000000000001,8.55,8.7,True,0
1.05,1.0895000000000001,8.7,8.849999999999998,True,0
1.05,1.0895000000000001,8.849999999999998,9.0,True,0
1.05,1.0895000000000001,9.0,9.149999999999999,True,0
1.05,1.0895000000000001,9.149999999999999,9.3,True,0
1.05,1.0895000000000001,9.3,9.45,True,0
1.05,1.0895000000000001,9.45,9.599999999999998,True,0
1.05,1.0895000000000001,9.599999999999998,9.75,True,0
1.05,1.0895000000000001,9.75,9.899999999999999,True,0
1.05,1.0895000000000001,9.899999999999999,10.05,True,0
1.05,1.0895000000000001,10.05,10.2,True,0
1.05,1.0895000000000001,10.2,10.349999999999998,True,0
1.05,1.0895000000000001,10.349999999999998,10.5,True,0
1.05,1.0895000000000001,10.5,10.649999999999999,True,0
1.05,1.0895000000000001,10.649999999999999,10.8,True,0
1.05,1.0895000000000001,10.8,10.95,True,0
1.05,1.0895000000000001,10.95,11.099999999999998,True,0
1.05,1.0895000000000001,11.099999999999998,11.25,True,0
1.05,1.0895000000000001,11.25,11.399999999999999,True,0
1.05,1.0895000000000001,11.399999999999999,11.55,True,0
1.05,1.0895000000000001,11.55,11.7,True,0
1.05,1.0895000000000001,11.7,11.849999999999998,True,0
1.05,1.0895000000000001,11.849999999999998,12.0,True,0
1.0895000000000001,1.129,-12.0,-11.85,False,-1
1.0895000000000001,1.129,-11.85,-11.7,False,-1
1.0895000000000001,1.129,-11.7,-11.55,False,-1
1.0895000000000001,1.129,-11.55,-11.4,False,-1
1.0895000000000001,1.129,-11.4,-11.25,False,-1
1.0895000000000001,1.129,-11.25,-11.1,False,-1
1.0895000000000001,1.129,-11.1,-10.95,False,-1
1.0895000000000001,1.129,-10.95,-10.8,False,-1
1.0895000000000001,1.129,-10.8,-10.65,False,-1
1.0895000000000001,1.129,-10.65,-10.5,False,-1
1.0895000000000001,1.129,-10.5,-10.35,False,-1
1.0895000000000001,1.129,-10.35,-10.2,False,-1
1.0895000000000001,1.129,-10.2,-10.05,False,-1
1.0895000000000001,1.129,-10.05,-9.9,False,-1
1.0895000000000001,1.129,-9.9,-9.75,False,-1
1.0895000000000001,1.129,-9.75,-9.6,False,-1
1.0895000000000001,1.129,-9.6,-9.45,False,-1
1.0895000000000001,1.129,-9.45,-9.3,False,-1
1.0895000000000001,1.129,-9.3,-9.15,False,-1
1.0895000000000001,1.129,-9.15,-9.0,False,-1
1.0895000000000001,1.129,-9.0,-8.85,False,-1
1.0895000000000001,1.129,-8.85,-8.7,False,-1
1.0895000000000001,1.129,-8.7,-8.55,False,-1
1.0895000000000001,1.129,-8.55,-8.4,False,-1
1.0895000000000001,1.129,-8.4,-8.25,False,-1
1.0895000000000001,1.129,-8.25,-8.1,False,-1
1.0895000000000001,1.129,-8.1,-7.95,False,-1
1.0895000000000001,1.129,-7.95,-7.8,False,-1
1.0895000000000001,1.129,-7.8,-7.65,False,-1
1.0895000000000001,1.129,-7.65,-7.5,False,-1
1.0895000000000001,1.129,-7.5,-7.3500000000000005,False,-1
1.0895000000000001,1.129,-7.3500000000000005,-7.2,False,-1
1.0895000000000001,1.129,-7.2,-7.05,False,-1
1.0895000000000001,1.129,-7.05,-6.9,False,-1
1.0895000000000001,1.129,-6.9,-6.75,False,-1
1.0895000000000001,1.129,-6.75,-6.6000000000000005,False,-1
1.0895000000000001,1.129,-6.6000000000000005,-6.45,False,-1
1.0895000000000001,1.129,-6.45,-6.3,False,-1
1.0895000000000001,1.129,-6.3,-6.15,False,-1
1.0895000000000001,1.129,-6.15,-6.0,False,-1
1.0895000000000001,1.129,-6.0,-5.8500000000000005,False,-1
1.0895000000000001,1.129,-5.8500000000000005,-5.7,False,-1
1.0895000000000001,1.129,-5.7,-5.55,False,-1
1.0895000000000001,1.129,-5.55,-5.4,False,-1
1.0895000000000001,1.129,-5.4,-5.25,False,-1
1.0895000000000001,1.129,-5.25,-5.1000000000000005,False,-1
1.0895000000000001,1.129,-5.1000000000000005,-4.95,False,-1
1.0895000000000001,1.129,-4.95,-4.800000000000001,False,-1
1.0895000000000001,1.129,-4.800000000000001,-4.65,False,-1
1.0895000000000001,1.129,-4.65,-4.5,False,-1
1.0895000000000001,1.129,-4.5,-4.3500000000000005,False,-1
1.0895000000000001,1.129,-4.3500000000000005,-4.2,False,-1
1.0895000000000001,1.129,-4.2,-4.050000000000001,False,-1
1.0895000000000001,1.129,-4.050000000000001,-3.9000000000000004,False,-1
1.0895000000000001,1.129,-3.9000000000000004,-3.75,False,-1
1.0895000000000001,1.129,-3.75,-3.5999999999999996,False,-1
1.0895000000000001,1.129,-3.5999999999999996,-3.450000000000001,False,-1
1.0895000000000001,1.129,-3.450000000000001,-3.3000000000000007,False,-1
1.0895000000000001,1.129,-3.3000000000000007,-3.1500000000000004,False,-1
1.0895000000000001,1.129,-3.1500000000000004,-3.0,False,-1
1.0895000000000001,1.129,-3.0,-2.8499999999999996,False,-1
1.0895000000000001,1.129,-2.8499999999999996,-2.700000000000001,False,-1
1.0895000000000001,1.129,-2.700000000000001,-2.5500000000000007,False,-1
1.0895000000000001,1.129,-2.5500000000000007,-2.4000000000000004,False,-1
1.0895000000000001,1.129,-2.4000000000000004,-2.25,False,-1
1.0895000000000001,1.129,-2.25,-2.0999999999999996,False,-1
1.0895000000000001,1.129,-2.0999999999999996,-1.950000000000001,False,-1
1.0895000000000001,1.129,-1.950000000000001,-1.8000000000000007,False,-1
1.0895000000000001,1.129,-1.8000000000000007,-1.6500000000000004,False,-1
1.0895000000000001,1.129,-1.6500000000000004,-1.5,False,-1
1.0895000000000001,1.129,-1.5,-1.3499999999999996,False,-1
1.0895000000000001,1.129,-1.3499999999999996,-1.200000000000001,False,-1
1.0895000000000001,1.129,-1.200000000000001,-1.0500000000000007,False,-1
1.0895000000000001,1.129,-1.0500000000000007,-0.9000000000000004,False,-1
1.0895000000000001,1.129,-0.9000000000000004,-0.75,False,-1
1.0895000000000001,1.129,-0.75,-0.5999999999999996,False,-1
1.0895000000000001,1.129,-0.5999999999999996,-0.45000000000000107,False,-1
1.0895000000000001,1.129,-0.45000000000000107,-0.3000000000000007,False,-1
1.0895000000000001,1.129,-0.3000000000000007,-0.15000000000000036,False,-1
1.0895000000000001,1.129,-0.15000000000000036,0.0,False,-1
1.0895000000000001,1.129,0.0,0.15000000000000036,False,-1
1.0895000000000001,1.129,0.15000000000000036,0.29999999999999893,False,-1
1.0895000000000001,1.129,0.29999999999999893,0.4499999999999993,False,-1
1.0895000000000001,1.129,0.4499999999999993,0.5999999999999996,False,-1
1.0895000000000001,1.129,0.5999999999999996,0.75,False,-1
