k,rho,transfer_upper
0,1.05,6.683899335399286
0,1.1,3.3211641776628733
0,1.25,1.4494669105859295
0,1.5,0.9112419457658265
0,2.0,0.6754902351468184
0,3.0,0.5748889485790213
0,5.0,0.5351167403189354
1,1.05,8.12606008033077
1,1.1,3.6303299459853133
1,1.25,1.093634913157729
1,1.5,0.3954653992164319
1,2.0,0.13747975477791025
1,3.0,0.046601649800028296
1,5.0,0.014905748073954438
2,1.05,6.75587951558269
2,1.1,2.907105585408483
2,1.25,0.7563130467682221
2,1.5,0.20465696470501687
2,2.0,0.04151356351298453
2,3.0,0.006389129774268796
2,5.0,0.0007462218686946274
3,1.05,5.52349372903985
3,1.1,2.214827024851245
3,1.25,0.4701574471543237
3,1.5,0.09598563744830019
3,2.0,0.011844854355362788
3,3.0,0.0008495162718565128
3,5.0,3.657647699449541e-05
4,1.05,4.68103020337214
4,1.1,1.6901757140168523
4,1.25,0.2960515887810362
4,1.5,0.044924244590447485
4,2.0,0.003336849293787746
4,3.0,0.00011179363245493333
4,5.0,1.7784203134566292e-06
5,1.05,4.311322025702563
5,1.1,1.4418245970649612
5,1.25,0.19710106901784813
5,1.5,0.02140180460086946
5,2.0,0.0009358903404472668
5,3.0,1.4621057161737176e-05
5,5.0,8.609374165545089e-08
6,1.05,3.9545537540770477
6,1.1,1.2812065057267157
6,1.25,0.15025776855377374
6,1.5,0.011766510841352652
6,2.0,0.00029292484387637683
6,3.0,2.0244164267175133e-06
6,5.0,4.254667657335242e-09
7,1.05,3.93688356683091
7,1.1,1.2177416661007132
7,1.25,0.11642606577913427
7,1.5,0.006621922420755701
7,2.0,9.473156093537641e-05
7,3.0,2.868531624002228e-07
7,5.0,2.1283296536833322e-10
8,1.05,2.5927507437526285
8,1.1,0.8046946649521005
8,1.25,0.07423677108394558
8,1.5,0.0034229124557262664
8,2.0,2.9443783427660976e-05
8,3.0,3.960599926485e-08
8,5.0,1.0420196309976517e-11
