n,k,start_id,perturbation_scale,solver_success,accepted_solution,maximum_scaled_remez_residual,maximum_moment_residual,dense_worst_relative_error,relative_error_difference_vs_published,maximum_node_difference_vs_published,maximum_weight_difference_vs_published,function_evaluations
2,3,0,0.04,True,True,2.775402472984597e-15,8.326672684688674e-17,0.10500586736550077,2.643240450461522e-16,5.551115123125783e-17,5.551115123125783e-17,5
2,3,1,0.04,True,True,3.304050563076899e-15,2.7755575615628914e-17,0.10500586736550122,3.9648606756922824e-15,2.220446049250313e-16,3.885780586188048e-16,5
2,3,2,0.04,True,True,1.585944270276911e-15,5.551115123125783e-17,0.105005867365501,1.8502683153230653e-15,5.551115123125783e-17,2.220446049250313e-16,5
2,3,3,0.04,True,True,1.8502683153230653e-15,5.551115123125783e-17,0.105005867365501,1.8502683153230653e-15,5.551115123125783e-17,2.220446049250313e-16,5
2,3,4,0.12,True,True,1.1894582027076837e-15,0.0,0.10500586736550088,7.929721351384565e-16,5.551115123125783e-17,1.1102230246251565e-16,6
2,3,5,0.12,True,True,2.775402472984597e-15,8.326672684688674e-17,0.105005867365501,1.8502683153230653e-15,0.0,0.0,6
2,3,6,0.12,True,True,3.1718885405538303e-15,2.7755575615628914e-17,0.105005867365501,1.8502683153230653e-15,2.220446049250313e-16,2.220446049250313e-16,5
2,3,7,0.12,True,True,3.8326986531692104e-15,4.440892098500626e-16,0.1050058673655011,2.907564495507674e-15,1.1102230246251565e-16,2.220446049250313e-16,5
2,3,8,0.3,True,True,1.4537822477538364e-15,5.551115123125783e-17,0.105005867365501,1.8502683153230653e-15,5.551115123125783e-17,1.6653345369377348e-16,12
2,3,9,0.3,True,True,9.251341576615318e-16,5.551115123125783e-17,0.105005867365501,1.8502683153230653e-15,5.551115123125783e-17,1.6653345369377348e-16,7
2,3,10,0.3,True,True,2.2467543828922943e-15,1.1102230246251565e-16,0.105005867365501,1.8502683153230653e-15,2.220446049250313e-16,2.220446049250313e-16,18
2,3,11,0.3,True,True,1.295187820726149e-14,5.551115123125783e-17,0.10500586736550188,1.0308637756799935e-14,1.3877787807814457e-16,1.1102230246251565e-16,9
3,4,0,0.04,True,True,4.470522543003564e-14,2.220446049250313e-16,0.004365404472746026,1.6888640718012645e-14,2.636779683484747e-16,1.6653345369377348e-16,6
3,4,1,0.04,True,True,4.8480333355239466e-14,5.551115123125783e-17,0.004365404472746026,1.6888640718012645e-14,2.220446049250313e-16,2.7755575615628914e-16,6
3,4,2,0.04,True,True,4.9672472700040615e-14,5.551115123125783e-17,0.004365404472745804,6.775325276285073e-14,4.440892098500626e-16,4.996003610813204e-16,6
3,4,3,0.04,True,True,3.258514209122554e-14,1.3877787807814457e-16,0.004365404472746026,1.6888640718012645e-14,3.3306690738754696e-16,1.6653345369377348e-16,6
3,4,4,0.12,True,True,4.5499984993236235e-14,0.0,0.004365404472745804,6.775325276285073e-14,4.440892098500626e-16,2.7755575615628914e-16,6
3,4,5,0.12,True,True,2.844265112787103e-14,1.1102230246251565e-16,0.004365404472746026,1.6888640718012645e-14,6.661338147750939e-16,4.996003610813204e-16,6
3,4,6,0.12,True,True,3.775107925203033e-14,0.0,0.004365404472746026,1.6888640718012645e-14,3.3306690738754696e-16,2.498001805406602e-16,6
3,4,7,0.12,True,True,3.8744528706031166e-14,5.551115123125783e-17,0.004365404472746026,1.6888640718012645e-14,2.7755575615628914e-16,1.6653345369377348e-16,6
3,4,8,0.3,True,False,1.0014062883975186,0.1440875920486968,0.06341656248904615,13.52707598687948,0.3223326369074091,0.4190862081131833,47
3,4,9,0.3,True,True,1.1106764895728399e-13,2.220446049250313e-16,0.004365404472746026,1.6888640718012645e-14,3.885780586188048e-16,4.440892098500626e-16,246
3,4,10,0.3,True,True,6.675980330885386e-14,5.551115123125783e-17,0.004365404472746026,1.6888640718012645e-14,2.220446049250313e-16,1.1102230246251565e-16,204
3,4,11,0.3,False,False,0.06496793341508322,0.06496793341508322,0.0005772756631364784,0.8677612425743135,0.2088150286313048,0.1898551082309668,6000
3,5,0,0.04,True,True,7.355572573732052e-15,5.551115123125783e-17,0.06980804604156199,4.174784433739808e-15,9.992007221626409e-16,1.1657341758564144e-15,5
3,5,1,0.04,True,True,7.156773314982606e-15,5.551115123125783e-17,0.06980804604156099,1.0138762196225247e-14,2.3314683517128287e-15,1.6653345369377348e-15,5
3,5,2,0.04,True,True,2.1867918462446638e-15,5.551115123125783e-17,0.06980804604156177,9.939962937475733e-16,8.881784197001252e-16,1.3877787807814457e-15,5
3,5,3,0.04,True,True,2.584390363743702e-15,8.326672684688674e-17,0.06980804604156154,2.1867918462446614e-15,3.3306690738754696e-16,4.440892098500626e-16,5
3,5,4,0.12,True,True,3.5783866574912905e-15,5.551115123125783e-17,0.06980804604156143,3.777185916240779e-15,3.0531133177191805e-16,5.551115123125783e-17,7
3,5,5,0.12,True,True,2.981988881242745e-15,1.1102230246251565e-16,0.06980804604156132,5.3675799862368956e-15,5.551115123125783e-16,3.3306690738754696e-16,5
3,5,6,0.12,True,True,1.1927955524970958e-15,1.1102230246251565e-16,0.06980804604156132,5.3675799862368956e-15,3.0531133177191805e-16,2.220446049250313e-16,6
3,5,7,0.12,True,True,7.156773314982628e-15,1.1102230246251565e-16,0.06980804604156121,6.957974056233013e-15,1.6653345369377348e-15,1.27675647831893e-15,6
3,5,8,0.3,True,True,1.1927955524970948e-15,1.1102230246251565e-16,0.06980804604156132,5.3675799862368956e-15,3.0531133177191805e-16,2.220446049250313e-16,8
3,5,9,0.3,True,True,2.7831896224932326e-15,2.220446049250313e-16,0.06980804604156121,6.957974056233013e-15,8.881784197001252e-16,7.771561172376096e-16,46
3,5,10,0.3,True,True,2.186791846244689e-15,5.551115123125783e-17,0.06980804604156088,1.1729156266221365e-14,2.1094237467877974e-15,1.6653345369377348e-15,9
3,5,11,0.3,True,True,1.2921951818719305e-14,3.0531133177191805e-16,0.06980804604155799,5.307940208612042e-14,1.2878587085651816e-14,1.3211653993039363e-14,35
4,5,0,0.04,True,True,8.701008665019914e-13,2.220446049250313e-16,0.00017943334945247358,2.376462991627319e-12,4.440892098500626e-15,4.274358644806853e-15,7
4,5,1,0.04,True,True,1.764220142338342e-12,5.551115123125783e-17,0.00017943334945247358,2.376462991627319e-12,2.4424906541753444e-15,2.275957200481571e-15,7
4,5,2,0.04,True,True,1.2722203989023742e-12,1.1102230246251565e-16,0.00017943334945247358,2.376462991627319e-12,4.135580766728708e-15,2.55351295663786e-15,8
4,5,3,0.04,True,True,1.3414055025234268e-12,5.551115123125783e-17,0.00017943334945269562,1.1389862037166277e-12,4.107825191113079e-15,3.9968028886505635e-15,7
4,5,4,0.12,True,True,1.8244927544469755e-12,5.551115123125783e-17,0.00017943334945247358,2.376462991627319e-12,5.88418203051333e-15,3.774758283725532e-15,7
4,5,5,0.12,True,True,1.3823425398188486e-12,8.326672684688674e-17,0.00017943334945247358,2.376462991627319e-12,2.6645352591003757e-15,2.9976021664879227e-15,655
4,5,6,0.12,True,False,1.3333333334245032,1.643347272983764e-07,0.002737901118693875,14.258596727095902,0.013691806188521172,0.011575154323832229,259
