rho_lower,rho_upper,log10_tau_lower,log10_tau_upper,selected_k,depth
4.90125,5.0,11.600000000000001,12.0,0,0
4.90125,5.0,11.200000000000003,11.600000000000001,0,0
4.90125,5.0,10.8,11.200000000000003,0,0
4.90125,5.0,10.400000000000002,10.8,0,0
4.90125,5.0,10.0,10.400000000000002,0,0
4.90125,5.0,9.600000000000001,10.0,0,0
4.90125,5.0,9.200000000000003,9.600000000000001,0,0
4.90125,5.0,8.8,9.200000000000003,0,0
4.90125,5.0,8.400000000000002,8.8,0,0
4.90125,5.0,8.0,8.400000000000002,0,0
4.90125,5.0,7.600000000000001,8.0,0,0
4.90125,5.0,7.200000000000003,7.600000000000001,0,0
4.9506250000000005,5.0,7.000000000000002,7.200000000000003,0,1
4.90125,4.9506250000000005,7.000000000000002,7.200000000000003,0,1
4.9506250000000005,5.0,6.800000000000001,7.000000000000002,0,1
4.90125,4.9506250000000005,6.800000000000001,7.000000000000002,0,1
4.993828125,5.0,6.750000000000001,6.775,1,4
4.987656250000001,4.993828125,6.750000000000001,6.775,1,4
4.981484375000001,4.987656250000001,6.750000000000001,6.775,1,4
4.9753125,4.981484375000001,6.750000000000001,6.775,1,4
4.987656250000001,5.0,6.700000000000001,6.750000000000001,1,3
4.9753125,4.987656250000001,6.700000000000001,6.750000000000001,1,3
4.969140625,4.9753125,6.750000000000001,6.775,1,4
4.96296875,4.969140625,6.750000000000001,6.775,1,4
4.956796875,4.96296875,6.750000000000001,6.775,1,4
4.9506250000000005,4.956796875,6.750000000000001,6.775,1,4
4.96296875,4.9753125,6.700000000000001,6.750000000000001,1,3
4.9506250000000005,4.96296875,6.700000000000001,6.750000000000001,1,3
4.9753125,5.0,6.600000000000001,6.700000000000001,1,2
4.9506250000000005,4.9753125,6.600000000000001,6.700000000000001,1,2
4.944453125000001,4.9506250000000005,6.750000000000001,6.775,1,4
4.93828125,4.944453125000001,6.750000000000001,6.775,1,4
4.932109375,4.93828125,6.750000000000001,6.775,1,4
4.9259375,4.932109375,6.750000000000001,6.775,1,4
4.93828125,4.9506250000000005,6.700000000000001,6.750000000000001,1,3
4.9259375,4.93828125,6.700000000000001,6.750000000000001,1,3
4.919765625,4.9259375,6.750000000000001,6.775,1,4
4.91359375,4.919765625,6.750000000000001,6.775,1,4
4.907421875000001,4.91359375,6.750000000000001,6.775,1,4
4.90125,4.907421875000001,6.750000000000001,6.775,1,4
4.91359375,4.9259375,6.700000000000001,6.750000000000001,1,3
4.90125,4.91359375,6.700000000000001,6.750000000000001,1,3
4.9259375,4.9506250000000005,6.600000000000001,6.700000000000001,1,2
4.90125,4.9259375,6.600000000000001,6.700000000000001,1,2
4.9506250000000005,5.0,6.400000000000002,6.600000000000001,1,1
4.90125,4.9506250000000005,6.400000000000002,6.600000000000001,1,1
4.90125,5.0,6.0,6.400000000000002,1,0
4.90125,5.0,5.600000000000001,6.0,1,0
4.90125,5.0,5.199999999999999,5.600000000000001,1,0
4.90125,5.0,4.800000000000001,5.199999999999999,1,0
4.90125,5.0,4.400000000000002,4.800000000000001,1,0
4.9506250000000005,5.0,4.200000000000001,4.400000000000002,1,1
4.90125,4.9506250000000005,4.200000000000001,4.400000000000002,1,1
4.9753125,5.0,4.1000000000000005,4.200000000000001,1,2
4.9506250000000005,4.9753125,4.1000000000000005,4.200000000000001,1,2
4.987656250000001,5.0,4.050000000000001,4.1000000000000005,1,3
4.9753125,4.987656250000001,4.050000000000001,4.1000000000000005,1,3
4.993828125,5.0,4.025,4.050000000000001,1,4
4.987656250000001,4.993828125,4.025,4.050000000000001,1,4
4.981484375000001,4.987656250000001,4.025,4.050000000000001,1,4
4.9753125,4.981484375000001,4.025,4.050000000000001,1,4
4.96296875,4.9753125,4.050000000000001,4.1000000000000005,1,3
4.9506250000000005,4.96296875,4.050000000000001,4.1000000000000005,1,3
4.969140625,4.9753125,4.025,4.050000000000001,1,4
4.96296875,4.969140625,4.025,4.050000000000001,1,4
4.956796875,4.96296875,4.025,4.050000000000001,1,4
4.9506250000000005,4.956796875,4.025,4.050000000000001,1,4
4.9259375,4.9506250000000005,4.1000000000000005,4.200000000000001,1,2
4.90125,4.9259375,4.1000000000000005,4.200000000000001,1,2
4.93828125,4.9506250000000005,4.050000000000001,4.1000000000000005,1,3
