n,k,equation_index,equation_type,lower,upper,contains_zero
2,3,0,moment,[-2.00000002250158050165484979743268922902643680572509765625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012049599326e-12 +/- 4.86e-192],[2.00000002250158050165484979743268922902643680572509765624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999987950400674e-12 +/- 4.86e-192],True
2,3,1,moment,[-1.64464152034224635884340770530798181425780057907104492187500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002420015819455814778918258694306e-12 +/- 1.01e-192],[1.64464152034224635884340770530798181425780057907104492187499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997579984180544185221081741305694e-12 +/- 1.01e-192],True
2,3,2,moment,[-1.05246834739090161514596388769859913736581802368164062500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001825521520593499421353843067862e-12 +/- 3.90e-192],[1.05246834739090161514596388769859913736581802368164062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998174478479406500578646156932138e-12 +/- 3.90e-192],True
2,3,3,equal_error,[-3.09279949523869767884105250305554786644737151310299633162640141183306866744331473484088733719306707542467012906272639752714344284980396896485472576867999999999999999999999932744297e-11 +/- 3.22e-192],[3.09279704928224608369407313984294464863975617244387866837359858816693133255668526515911266280693292457532987093727360247285655715019603103514527423132000000000000000000000067255703e-11 +/- 3.22e-192],True
2,3,4,equal_error,[-3.04278939501469847602026810745184352673729035213137866837359858816693133255668526515911266280693292457532987093727360247285655715019603103514527423132000000000000000000000067255703e-11 +/- 3.22e-192],[3.04279243728234493819468617476348722301284697697018383162640141183306866744331473484088733719306707542467012906272639752714344284980396896485472576867999999999999999999999932744297e-11 +/- 3.22e-192],True
3,4,0,moment,-3.00000003544643664699087537428567884489893913269042968750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e-12,3.00000003544643664699087537428567884489893913269042968750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e-12,True
3,4,1,moment,[-1.94683250301515807512142686164224869571626186370849609375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000793834782075600396083190268590e-12 +/- 3.13e-192],[1.94683250301515807512142686164224869571626186370849609374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999206165217924399603916809731410e-12 +/- 3.13e-192],True
3,4,2,moment,[-1.28010901608943770263460137925903836730867624282836914062500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001812980914047263611747093414400e-12 +/- 4.14e-192],[1.28010901608943770263460137925903836730867624282836914062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998187019085952736388252906585600e-12 +/- 4.14e-192],True
3,4,3,moment,[-1.04882359850018425095896645871107466518878936767578125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002048772321579916472907175535785e-12 +/- 3.95e-192],[1.04882359850018425095896645871107466518878936767578124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997951227678420083527092824464215e-12 +/- 3.95e-192],True
3,4,4,equal_error,[-8.03275763825066321567037106915246327726477080220025298486918170006401433420978377095999938435018929343850719798737176287650844750226473309977535413567690000000000000000000000337451e-11 +/- 4.09e-191],[8.03275720902092596708298856783789018781549042826849701513081829993598566579021622904000061564981070656149280201262823712349155249773526690022464586432309999999999999999999999662549e-11 +/- 4.09e-191],True
