node_pairs_n,matched_moments_k,polynomial_exactness_degree,effective_free_parameters,alternation_points,minimax_relative_error,minimum_pair_weight,sum_pair_weights,maximum_equioscillation_residual,successive_moment_price,surface_fitted_error,surface_relative_fit_error
2,0,-1,4,5,2.370867061683233e-05,0.08732151521250342,0.47960284371086864,6.550401555281271e-70,,2.379391920015302e-05,0.0035956711659812512
2,1,1,3,4,0.0003923368937989806,0.12337685714193364,1.0,2.3817601468806537e-54,16.548245160588426,0.00039176553959448896,-0.0014562846714700761
2,2,3,2,3,0.006460160229040807,0.2103464450419144,1.0,1.0714332267591102e-57,16.465849455266273,0.006450397545805487,-0.0015112137917930868
3,0,-1,6,7,5.9459278452684436e-08,0.05367443949633679,0.6320442744081468,3.1731043567110113e-69,,5.9570613922300424e-08,0.001872465870984108
3,1,1,5,6,9.826042255242402e-07,0.06466981294032301,1.0,1.3278152532212474e-59,16.525666827695556,9.808268033075828e-07,-0.001808889246033063
3,2,3,4,5,1.6173575839220873e-05,0.08160267791771413,1.0,1.928642559104072e-69,16.459908698837445,1.6149258077839556e-05,-0.0015035488517231022
3,3,5,3,4,0.00026584200083215446,0.11112791693199096,1.0,6.270461906270792e-69,16.43681047869998,0.0002658966247508643,0.00020547512634894183
4,0,-1,8,9,1.4906230748933158e-10,0.03914710071032164,0.7423883133247136,4.58811408276177e-69,,1.491413841170377e-10,0.0005304937850352243
4,1,1,7,8,2.4606263539088863e-09,0.04452784797584177,1.0,3.3955311797543155e-69,16.507367927904873,2.455604490079312e-09,-0.0020408884191606136
4,2,3,6,7,4.048641009537743e-08,0.05167027316105198,1.0,4.214366989183759e-69,16.45370091686687,4.0431389633381064e-08,-0.0013589859379172786
4,3,5,5,6,6.653545980331275e-07,0.06164608887927411,1.0,1.3901078962378965e-54,16.434023082453905,6.657005532814744e-07,0.0005199561998512348
4,4,7,4,5,1.0928192707088406e-05,0.07659505914676848,1.0,1.0760606135612314e-67,16.42461439267652,1.0960722118573447e-05,0.0029766506097519407
