rho,tau,independent_selected_k,certified_reference_available,certified_reference_k,agrees_with_certified_reference,risk_margin
1.1,0.01,4,False,,,0.5246474854478469
1.1,100.0,4,False,,,0.4863974453731354
1.1,100000.0,2,False,,,0.2637045220824476
1.1,10000000.0,0,True,0.0,True,1.1707818268230978
1.25,0.1,4,True,4.0,True,0.1740676045078262
1.25,100.0,4,True,4.0,True,0.13585199291203
1.25,100000.0,2,True,2.0,True,0.1955839568025706
1.25,10000000.0,0,True,0.0,True,0.5057840610724575
1.5,0.1,4,True,4.0,True,0.0510231389923913
1.5,100.0,4,True,4.0,True,0.0128075273965951
1.5,10000.0,2,True,2.0,True,0.1242430316185749
1.5,10000000.0,0,True,0.0,True,0.3458395119512634
2.0,0.01,4,True,4.0,True,0.0085041796750287
2.0,10.0,4,True,4.0,True,0.0046826185154491
2.0,10000.0,2,True,2.0,True,0.0817924003062322
2.0,10000000.0,0,True,0.0,True,0.3236055781317497
3.0,0.01,4,True,4.0,True,0.0007338972528552
3.0,10.0,3,True,3.0,True,0.0030876639067243
3.0,1000.0,2,True,2.0,True,0.017751822385117
3.0,1000000.0,1,True,1.0,True,0.4421256929289273
5.0,0.01,4,True,4.0,True,3.097267013469576e-05
5.0,1.0,3,True,3.0,True,0.0003477405979317
5.0,1000.0,2,True,2.0,True,0.0127421471093904
5.0,1000000.0,1,True,1.0,True,0.4340493863949152
