method,evaluations,box,a_abs_max,worst_relative_error,signed_relative_error,worst_a,worst_b,optimization_success,centered_worst_relative_error,inflation_from_centered,gauss_worst_error_over_method,simpson_worst_error_over_method
PMC-k0,8,centered,0.0,1.4906265111136463e-10,-1.4906265111136463e-10,0.0,0.12,True,1.4906265111136463e-10,1.0,2885028056.2284856,378700304.5964457
PMC-k0,8,primary_shift,0.03,4.522335968815128e-06,4.522335968815128e-06,0.03,0.08,True,1.4906265111136463e-10,30338.49146716499,95094.64435141474,16422.402185617942
PMC-k0,8,secondary_shift,0.08,0.0009251329797772545,0.0009251329797772545,0.08,0.09151350104504502,True,1.4906265111136463e-10,6206336.549630317,464.85201586438836,264.81054395474814
PMC-k0,8,extended_shift,0.2,0.16574072485082503,-0.16574072485082503,0.2,0.08,True,1.4906265111136463e-10,1111886335.1423974,4.256675035380297,1.6412630294907744
PMC-k1,8,centered,0.0,2.460626813416411e-09,-2.460626813416411e-09,0.0,0.08,True,2.460626813416411e-09,1.0,174772512.53512532,22941337.98430427
PMC-k1,8,primary_shift,0.03,1.8046082269629338e-05,1.8046082269629338e-05,0.03,0.08,True,2.460626813416411e-09,7333.937097342117,23830.653333318663,4115.442841760558
PMC-k1,8,secondary_shift,0.08,0.0039025680521873607,-0.0039025680521873607,0.08,0.08,True,2.460626813416411e-09,1586005.6595778184,110.19665124123726,62.775322384956105
PMC-k1,8,extended_shift,0.2,0.11155568807787075,0.11155568807787075,0.17202055444394096,0.08,True,2.460626813416411e-09,45336288.89582949,6.3242351687694205,2.438460367783104
PMC-k2,8,centered,0.0,4.048641055742763e-08,-4.048641055742763e-08,0.0,0.12,True,4.048641055742763e-08,1.0,10622080.956820913,1394296.7677946242
PMC-k2,8,primary_shift,0.03,3.75866482416054e-05,3.75866482416054e-05,0.03,0.08930786369045195,True,4.048641055742763e-08,928.3768979295143,11441.561051885825,1975.904305725241
PMC-k2,8,secondary_shift,0.08,0.003519906985104293,-0.003519906985104293,0.08,0.09690407462568795,True,4.048641055742763e-08,86940.45573913025,122.17650421218248,69.59984131456615
PMC-k2,8,extended_shift,0.2,0.19478547146946368,0.19478547146946368,0.2,0.08,True,4.048641055742763e-08,4811132.1499635475,3.6219559934116696,1.396531898023549
PMC-k3,8,centered,0.0,6.653545983059672e-07,6.653545983059672e-07,0.0,0.12,True,6.653545983059672e-07,1.0,646346.9730081045,84842.08499280349
PMC-k3,8,primary_shift,0.03,0.00039186363545062886,-0.00039186363545062886,0.03,0.08,True,6.653545983059672e-07,588.9545761738736,1097.4479173030268,189.52414406343965
PMC-k3,8,secondary_shift,0.08,0.0162124503622445,0.0162124503622445,0.08,0.08,True,6.653545983059672e-07,24366.63157288215,26.5259057689135,15.110915508232605
PMC-k3,8,extended_shift,0.2,0.21528522819693852,-0.21528522819693852,0.2,0.08,True,6.653545983059672e-07,323564.6507066572,3.2770683419717064,1.2635522021502557
PMC-k4,8,centered,0.0,1.0928192707648776e-05,-1.0928192707648776e-05,0.0,0.08,True,1.0928192707648776e-05,1.0,39352.337764970776,5165.545016452482
PMC-k4,8,primary_shift,0.03,0.001025563888323533,-0.001025563888323533,0.03,0.08448017833227225,True,1.0928192707648776e-05,93.84569944541042,419.33021968536593,72.41637595076777
PMC-k4,8,secondary_shift,0.08,0.013069554790606341,0.013069554790606341,0.08,0.10794645791324374,True,1.0928192707648776e-05,1195.9484189420268,32.90471155920176,18.744706421168466
PMC-k4,8,extended_shift,0.2,0.1545173220134053,0.1545173220134053,0.14518057290699085,0.08,True,1.0928192707648776e-05,14139.32990999113,4.565859650072987,1.7604765642719478
Gauss-Legendre-8,8,centered,0.0,0.4300499305920852,-0.4300499305920852,0.0,0.08,True,0.4300499305920852,1.0,1.0,0.13126399369977348
Gauss-Legendre-8,8,primary_shift,0.03,0.4300499305920852,-0.4300499305920852,0.0,0.08,True,0.4300499305920852,1.0,1.0,0.1726953425992136
Gauss-Legendre-8,8,secondary_shift,0.08,0.4300499305920852,-0.4300499305920852,0.0,0.08,True,0.4300499305920852,1.0,1.0,0.5696663344835349
Gauss-Legendre-8,8,extended_shift,0.2,0.7055044058183417,0.7055044058183417,0.183548783576771,0.08,True,0.4300499305920852,1.6405174274694467,1.0,0.38557395522304455
Composite-Simpson-9,9,centered,0.0,0.05645007137982749,-0.05645007137982749,0.0,0.12,True,0.05645007137982749,1.0,7.618235372962949,1.0
Composite-Simpson-9,9,primary_shift,0.03,0.07426762009836818,-0.07426762009836818,0.03,0.12,True,0.05645007137982749,1.3156337677352843,5.790544116298326,1.0
Composite-Simpson-9,9,secondary_shift,0.08,0.24498496760529176,-0.24498496760529176,0.08,0.08,True,0.05645007137982749,4.339852220148608,1.7554135455566457,1.0
Composite-Simpson-9,9,extended_shift,0.2,0.27202412417866195,-0.27202412417866195,0.10362053666934487,0.08,True,0.05645007137982749,4.818844645001993,2.5935361723836503,1.0
