n,k,source,rule_type,node_pairs,moment_count,polynomial_exactness_degree,observed_extrema,expected_alternation,minimum_node_order_margin,minimum_weight,maximum_x_squared_discrepancy,maximum_moment_residual,maximum_extremum_value_discrepancy,maximum_internal_derivative_residual,alternation_amplitude_spread,recomputed_extremal_error,dense_grid_error,published_error,published_relative_difference,geometry_pass,moments_pass,alternation_count_pass,alternation_sign_pass,amplitude_pass,stationarity_pass,value_reproduction_pass,published_error_pass,dense_screen_pass,overall_pass
2,0,Round-27 lower-half rule,lower_half,2,0,-1,5,5,0.0015500825475802,0.0873215152125034,2.47460468328e-17,0.0,1.49031354923e-15,2.40580085097e-14,2.85225907137e-15,0.0000237086706181942755,2.370867061596282355e-05,2.370867061683233e-05,5.74450395869e-11,True,True,True,True,True,True,True,True,True,True
2,1,Round-27 lower-half rule,lower_half,2,1,1,4,4,0.002739586200203,0.1233768571419336,8.20255641172e-17,1.0e-16,1.13307582728e-15,1.71399077463e-14,2.22425180709e-15,0.000392336893799991176,3.923368937994720085e-04,0.0003923368937989,2.7812219474e-12,True,True,True,True,True,True,True,True,True,True
2,2,Round-27 lower-half rule,lower_half,2,2,3,3,3,0.006220680101803,0.2103464450419144,2.8270511613e-17,6.45331386681e-18,1.99232719633e-15,1.00275357509e-14,3.59220712369e-15,0.00646016022904239988,6.460160229039502156e-03,0.0064601602290408,2.47653288873e-13,True,True,True,True,True,True,True,True,True,True
2,3,Round-43 upper-half solve,upper_half,2,3,5,2,2,0.02397503303205922,0.4815439198496915,1.08116330495e-16,7.6134740636e-17,1.62508014871e-16,0.0,2.66296055481e-16,0.105005867365500979,1.050058673655008823e-01,0.1050058673655009,7.50473019546e-16,True,True,True,True,True,True,True,True,True,True
2,4,Gauss-Legendre endpoint,gauss_endpoint,2,4,7,2,endpoint,0.1155871099970479,0.3478548451374536,5.03608156916e-17,1.95920413174e-16,1.7538092676e-16,0.0,0.141051740317,0.688197332678552968,6.881973326785529865e-01,0.688197332678553,4.64690365767e-17,True,True,True,True,True,True,True,True,True,True
3,0,Round-27 lower-half rule,lower_half,3,0,-1,7,7,0.0006562014342148,0.0536744394963367,7.69232811725e-17,0.0,4.03349300747e-15,9.30814010121e-14,7.85409311198e-15,5.94592822732845445e-8,5.945928194250882370e-08,5.945927845268444e-08,6.42557428198e-8,True,True,True,True,True,True,True,True,True,True
3,1,Round-27 lower-half rule,lower_half,3,1,1,6,6,0.0009217661568701,0.064669812940323,8.49757131676e-17,0.0,5.53553065392e-15,1.47230528639e-13,1.05845059665e-14,9.82604230573215513e-7,9.826042304261761728e-07,9.826042255242402e-07,5.1383610831e-9,True,True,True,True,True,True,True,True,True,True
3,2,Round-27 lower-half rule,lower_half,3,2,3,5,5,0.0013918302706054,0.0816026779177141,6.52251209606e-17,7.77932268744e-18,4.91394192585e-15,1.07378834363e-13,9.27626174278e-15,0.0000161735758435831928,1.617357583716394487e-05,1.6173575839220873e-05,2.6971894529e-10,True,True,True,True,True,True,True,True,True,True
3,3,Round-27 lower-half rule,lower_half,3,3,5,4,4,0.0023544651735952,0.1111279169319909,1.56639876878e-16,2.0e-16,3.50062396674e-15,6.6301828249e-14,6.50945262308e-15,0.000265842000835108829,2.658420008336825902e-04,0.0002658420008321,1.1318108677e-11,True,True,True,True,True,True,True,True,True,True
3,4,Round-43 upper-half solve,upper_half,3,4,7,3,3,0.004859908969323627,0.1733930820180605,1.32504621429e-17,9.46729308882e-17,1.98754408393e-16,7.15580483291e-16,1.32205353375e-16,0.00436540447274593825,4.365404472746026165e-03,0.004365404472745892,1.05936556157e-14,True,True,True,True,True,True,True,True,True,True
3,5,Round-43 upper-half solve,upper_half,3,5,9,2,2,0.01433770414654828,0.2282676214225584,1.09527401923e-16,1.41766009932e-16,1.47259681781e-16,0.0,9.8142750265e-16,0.0698080460415617887,6.980804604156176651e-02,0.06980804604156127,7.4301919885e-15,True,True,True,True,True,True,True,True,True,True
3,6,Gauss-Legendre endpoint,gauss_endpoint,3,6,11,2,endpoint,0.05693911596700735,0.1713244923791703,9.70363761055e-17,1.08220994778e-16,1.29923698584e-16,0.0,0.173862970087,0.54948405996789243,5.494840599678922910e-01,0.5494840599678923,2.36446710742e-16,True,True,True,True,True,True,True,True,True,True
4,0,Round-27 lower-half rule,lower_half,4,0,-1,9,9,0.0003634475314714,0.0391471007103216,9.50243158754e-17,0.0,3.79187575951e-15,1.00758295951e-13,7.45499786272e-15,1.49065970611434793e-10,1.490658707581360432e-10,1.4906230748933158e-10,2.4574435784e-5,True,True,True,True,True,True,True,True,True,True
4,1,Round-27 lower-half rule,lower_half,4,1,1,8,8,0.0004640451462483,0.0445278479758417,4.91342463446e-17,2.0e-16,2.01449653296e-15,4.69694495108e-14,3.95165247579e-15,2.46062829106482914e-9,2.460628367728645571e-09,2.4606263539088863e-09,7.87261316519e-7,True,True,True,True,True,True,True,True,True,True
4,2,Round-27 lower-half rule,lower_half,4,2,3,7,7,0.0006132390832568,0.0516702731610519,1.2008818868e-16,1.0e-16,3.90220217407e-15,9.59866816013e-14,7.58935631355e-15,4.04864137825315695e-8,4.048641244480677415e-08,4.048641009537743e-08,9.10714022507e-8,True,True,True,True,True,True,True,True,True,True
4,3,Round-27 lower-half rule,lower_half,4,3,5,6,6,0.0008489575374912,0.0616460888792741,9.06930278319e-17,1.12126051587e-16,3.52744786746e-15,8.881466969e-14,6.76924742874e-15,6.65354601274927061e-7,6.653545994161902399e-07,6.653545980331275e-07,4.8722885073e-9,True,True,True,True,True,True,True,True,True,True
4,4,Round-27 lower-half rule,lower_half,4,4,7,5,5,0.0012550609747936,0.0765950591467684,4.91730226009e-17,1.0e-16,2.32166469528e-15,6.29524959838e-14,4.32726000227e-15,0.0000109281927090940013,1.092819270642753082e-05,1.0928192707088406e-05,1.8352488474e-10,True,True,True,True,True,True,True,True,True,True
4,5,Round-43 upper-half solve,upper_half,4,5,9,4,4,0.00204918960366061,0.1014074614990291,1.25127457672e-16,5.03563100514e-17,2.59370914683e-16,3.99723126479e-16,5.00822824725e-16,0.000179433349452831173,1.794333494529176676e-04,0.0001794333494525069,1.80720750455e-12,True,True,True,True,True,True,True,True,True,True
4,6,Round-43 upper-half solve,upper_half,4,6,11,3,3,0.003941092004737961,0.1490107605475014,1.5620655661e-16,5.75919349836e-17,1.28055498994e-16,4.59529670285e-15,2.8264118375e-16,0.00294321948178856746,2.943219481788439396e-03,0.0029432194817884862,2.76076926974e-14,True,True,True,True,True,True,True,True,True,True
4,7,Round-43 upper-half solve,upper_half,4,7,13,2,2,0.009860434868067296,0.1261936793619655,1.34247440597e-16,5.71699420876e-17,7.20469348934e-17,0.0,2.98501411501e-17,0.045979822253459463,4.597982225345953466e-02,0.04597982225345947,1.53261464444e-16,True,True,True,True,True,True,True,True,True,True
4,8,Gauss-Legendre endpoint,gauss_endpoint,4,8,15,2,endpoint,0.03364826806750684,0.1012285362903771,1.19064641153e-16,6.27844981593e-16,1.71687878666e-16,0.0,0.180673679129,0.430049930592085028,4.300499305920851834e-01,0.4300499305920852,3.99227779038e-16,True,True,True,True,True,True,True,True,True,True
