n,k,variable,center,radius,box_lower,box_upper,independent_krawczyk_lower,independent_krawczyk_upper,strictly_included,inclusion_margin
2,3,y_1,0.023975033032059214604335877837793424263655859255515106893769201959214680233937169,1.0e-12,[0.02397503303105921459986135116500040207748609464643902418731778594358968023393716900000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 8.72e-164],[0.02397503303305921460881040451058644644982562386459118960022061797483968023393716900000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 8.72e-164],[0.02397503303205921460426318883807346181256837588834016818693414340975440909610514571486778389012933019629338701681804588116205144086782615477076132209110610726011 +/- 4.98e-162],[0.02397503303205921460440856683751338671474334262269004560060426050867495137176919305293626915013909582129338701681804588116205144086782615477076132209110610726011 +/- 4.98e-162],True,1.0000000044018378e-12
2,3,y_2,0.62066646388881819732159941629913003853702692199364900573123162799467836116158531,1.0e-12,[0.6206664638878181973171248896263370163508571573845729230247802119790533611615853100000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 3.32e-162],[0.6206664638898181973260739429719230607231966866027250884376830440103033611615853100000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 3.32e-162],[0.6206664638888181973215087670744112467960722062328269898982975929490800967153870135812364740410481285962653392735592072410175725200215734265468565342127971736790 +/- 3.32e-161],[0.6206664638888181973216900655238488302779816377544710215641656630402766256077836135668955965080891442212653392735592072410175725200215734265468565342127971736790 +/- 3.32e-161],True,1.0000000043838775e-12
2,3,w_1,0.48154391984969146462210951286184414369923792752527100388249269609959362007900053,1.0e-12,[0.4815439198486914646176349861890511215130681629161949211760412800839686200790005300000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 1.00e-162],[0.4815439198506914646265840395346371658854076921343470865889441121152186200790005300000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 1.00e-162],[0.4815439198496914646219653837804812622348799412449389215123984112262971893189081932936006673127908824519828453389646867431700687318507908734233278903977260003933 +/- 1.45e-161],[0.4815439198496914646222536419432070251635959138056030862525869809728900508390928629372411855012674449519828453389646867431700687318507908734233278903977260003933 +/- 1.45e-161],True,1.0000000043303975e-12
2,3,w_2,0.51845608015030853537789048713815585630076207247472899611750730390040637992099947,1.0e-12,[0.5184560801493085353734159604653628341145923078656529134110558878847813799209994700000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 1.01e-162],[0.5184560801513085353823650138109488784869318370838050788239587199160313799209994700000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 1.01e-162],[0.5184560801503085353777463580567929748364040861943969137474130190271099491609071370627588144987325550480171546610353132568299312681492091265766721096022739996067 +/- 1.01e-161],[0.5184560801503085353780346162195187377651200587550610784876015887737028106810918067063993326872091175480171546610353132568299312681492091265766721096022739996067 +/- 1.01e-161],True,1.0000000043303975e-12
2,3,E,0.10500586736550084106020059678236969892735460435058786751587701153463130755249888,1.0e-12,[0.1050058673645008410557260701095766767411848397415117848094255955190063075524988800000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 1.75e-163],[0.1050058673665008410646751234551627211135243689596639502223284275502563075524988800000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 1.75e-163],[0.1050058673655008410584601827884799107192962902001337252569961374178758858425311031928710040745996433589170089240315848653579510705571327290505977861105838847389 +/- 3.43e-161],[0.1050058673655008410619410107762594871354129185010420097747578856513867292624666574588469562230371433589170089240315848653579510705571327290505977861105838847389 +/- 3.43e-161],True,1.0000000027341126e-12
3,4,y_1,0.0048599089693236346170030722197850592144754335708595227384202013799336635694224898,1.0e-12,[0.004859908968323634612528545546992037028305668961783440031968785364308663569422489800000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 1.04e-164],[0.004859908970323634621477598892578081400645198179935605444871617395558663569422489800000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 1.04e-164],[0.004859908969323634616177286139763063139853395624312695488695480969904641691859862649801402629118579667659503702306636870220989617420748720049696065682257236215890 +/- 4.33e-163],[0.004859908969323634617828858299807055289097471517406349988144921789962685446985117042425303996306079667659503702306636870220989617420748720049696065682257236215890 +/- 4.33e-163],True,1.0000000036487405e-12
3,4,y_2,0.17964236881321444545378936613101973836056415496750524689574447620641597661065639,1.0e-12,[0.1796423688122144454493148394582267161743943903584291641892930601907909766106563900000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 5.21e-163],[0.1796423688142144454582638928038127605467339195765813296021958922220409766106563900000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 5.21e-163],[0.1796423688132144454465159568569342812523239935216577997265782317991369671455282025739071735777331082293939569884756439875799217303179890567353616411852255817373 +/- 4.60e-161],[0.1796423688132144454610627754051051954688043164133526940649107206136949860757845693036435017027331082293939569884756439875799217303179890567353616411852255817373 +/- 4.60e-161],True,9.999999972011174e-13
3,4,y_3,0.76233019712022900953134456743541076381435970697601507249677656334726105428974492,1.0e-12,[0.7623301971192290095268700407626177416281899423669389897903251473316360542897449200000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 4.06e-162],[0.7623301971212290095358190941082037860005294715850911552032279793628860542897449200000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 4.06e-162],[0.7623301971202290095286793807574793795357432384624225930310390685768667762689140918635467259378927592350605805207249211851923399547364322809551204183920861901269 +/- 9.24e-162],[0.7623301971202290095340097541133421480929761754896075519625140581176553323105757418059447972269552592350605805207249211851923399547364322809551204183920861901269 +/- 9.24e-162],True,1.00000000180934e-12
3,4,w_1,0.1733930820180607016584918338300174216168551533929352656932018770511355922644214,1.0e-12,[0.1733930820170607016540173071572243994306853887838591829867504610355105922644214000000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 3.30e-163],[0.1733930820190607016629663605028104438030249180020113483996532930667605922644214000000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 3.30e-163],[0.1733930820180607016449212865160313736407438566377478983798796217378118979831413630591409544209593525408535802517922703898799733534448725486376472105755341229932 +/- 3.94e-161],[0.1733930820180607016720623811440034695929664501481226330065241323644592865457014445410745481709593525408535802517922703898799733534448725486376472105755341229932 +/- 3.94e-161],True,9.999999909039793e-13
3,4,w_2,0.51083400326403967448875760757465357123846881767763461216317665445356366446343288,1.0e-12,[0.5108340032630396744842830809018605490522990530685585294567252384379386644634328800000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 3.03e-162],[0.5108340032650396744932321342474465934246385822867106948696280704691886644634328800000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 3.03e-162],[0.5108340032640396744789054160656120102369905370331033051461233534862728124773971741876708768272753781058142027683601534775082536657224400607312617231970897004736 +/- 3.78e-161],[0.5108340032640396744986097990836951322399470983221659191802299554208545164494685834131347440147753781058142027683601534775082536657224400607312617231970897004736 +/- 3.78e-161],True,9.999999946223352e-13
