n,k,equation_index,equation_type,lower,upper,contains_zero
2,3,0,moment,[-2.00000002250158050165484979743268922902643680572509765625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012049599326e-12 +/- 4.86e-192],[2.00000002250158050165484979743268922902643680572509765624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999987950400674e-12 +/- 4.86e-192],True
2,3,1,moment,[-1.64464152034224635884340770530798181425780057907104492187500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001204734227102549360635093290921e-12 +/- 2.90e-192],[1.64464152034224635884340770530798181425780057907104492187499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998795265772897450639364906709079e-12 +/- 2.90e-192],True
2,3,2,moment,[-1.05246834739090161514596388769859913736581802368164062500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001322690552750066576006109533422e-12 +/- 1.20e-192],[1.05246834739090161514596388769859913736581802368164062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998677309447249933423993890466578e-12 +/- 1.20e-192],True
2,3,3,equal_error,[-3.09279827560825411439498696506828289756564867321698634653686924475011196741410198511816066410829910759684151346420489294428672709494022138894161152611000000000000000000000053154673e-11 +/- 8.06e-192],[3.09279826891268964814013867783020961752147901232988865346313075524988803258589801488183933589170089240315848653579510705571327290505977861105838847388999999999999999999999946845327e-11 +/- 8.06e-192],True
2,3,4,equal_error,[-3.04279092364276119883509733756315674355240094836504490346313075524988803258589801488183933589170089240315848653579510705571327290505977861105838847388999999999999999999999946845327e-11 +/- 8.06e-192],[3.04279090865428221537985694465217400619773638073651759653686924475011196741410198511816066410829910759684151346420489294428672709494022138894161152611000000000000000000000053154673e-11 +/- 8.06e-192],True
3,4,0,moment,-3.00000003544643664699087537428567884489893913269042968750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e-12,3.00000003544643664699087537428567884489893913269042968750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e-12,True
3,4,1,moment,[-1.94683250301515807512142686164224869571626186370849609374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999995993155543894674093082778581874e-12 +/- 3.89e-192],[1.94683250301515807512142686164224869571626186370849609375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004006844456105325906917221418126e-12 +/- 3.89e-192],True
3,4,2,moment,[-1.28010901608943770263460137925903836730867624282836914062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999996903951235290183578236520286374e-12 +/- 4.18e-192],[1.28010901608943770263460137925903836730867624282836914062500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003096048764709816421763479713626e-12 +/- 4.18e-192],True
3,4,3,moment,[-1.04882359850018425095896645871107466518878936767578124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997561634824427755415445164704045e-12 +/- 3.63e-192],[1.04882359850018425095896645871107466518878936767578125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002438365175572244584554835295955e-12 +/- 3.63e-192],True
3,4,4,equal_error,[-8.03275742118992736718842612365895841606869722933279037878434105458485282682535896803002430808015260886650960251924864320368651737120844219605600627849170000000000000000000001603062e-11 +/- 4.09e-191],[8.03275738271357491614475615303328301421389554410470962121565894541514717317464103196997569191984739113349039748075135679631348262879155780394399372150829999999999999999999998396938e-11 +/- 4.08e-191],True
