n,k,variable,center,radius,lower,upper,krawczyk_lower,krawczyk_upper
2,3,y_1,0.023975033032059214604335877837793424263655859255515106893769201959214680233937169,1.0e-12,[0.0239750330310592145998613511650004020774860946464390241873177859435896802339371693839020265201342130087933870168180458811620514408678261547707613220911061072601200000000000000000000 +/- 1.75e-183],[0.0239750330330592146088104045105864464498256238645911896002206179748396802339371693839020265201342130087933870168180458811620514408678261547707613220911061072601200000000000000000000 +/- 1.75e-183],[0.0239750330320592146042631888030677591433859770231947131025105044680058735381422498781866563419115567587933870168180458811620514408678261547707613220911061072601213781285497066382807 +/- 2.94e-182],[0.0239750330320592146044085668725190893839257414878355006850278994504234869297320888896173966983568692587933870168180458811620514408678261547707613220911061072601213781285497066382807 +/- 2.94e-182]
2,3,y_2,0.62066646388881819732159941629913003853702692199364900573123162799467836116158531,1.0e-12,[0.620666463887818197317124889626337016350857157384572923024780211979053361161585313574066035274568636408765339273559207241017572520021573426546856534212797173679000000000000000000000 +/- 1.81e-182],[0.620666463889818197326073942971923060723196686602725088437683044010303361161585313574066035274568636408765339273559207241017572520021573426546856534212797173679000000000000000000000 +/- 1.81e-182],[0.620666463888818197321508767042067949682010722210946118721703357532478632875917070385655037883821566096265339273559207241017572520021573426546856534212797173679018931674879193813711 +/- 3.45e-181],[0.620666463888818197321690065556192127392043121776351892740759898456878089447253556762477032665315706721265339273559207241017572520021573426546856534212797173679018931674879193813711 +/- 3.45e-181]
2,3,w_1,0.48154391984969146462210951286184414369923792752527100388249269609959362007900053,1.0e-12,[0.481543919848691464617634986189051121513068162916194921176041280083968620079000528115420926407029163701982845338964686743170068731850790873423327890397726000393300000000000000000000 +/- 4.41e-183],[0.481543919850691464626584039534637165885407692134347086588944112115218620079000528115420926407029163701982845338964686743170068731850790873423327890397726000393300000000000000000000 +/- 4.41e-183],[0.481543919849691464621965383724274922737882850109353261235999892362081230817390304203718293502976429326982845338964686743170068731850790873423327890397726000393297371386922141633179 +/- 5.52e-183],[0.481543919849691464622253641999413364660593004941188746528985499837106009340610752027123559311081898076982845338964686743170068731850790873423327890397726000393297371386922141633179 +/- 5.52e-183]
2,3,w_2,0.51845608015030853537789048713815585630076207247472899611750730390040637992099947,1.0e-12,[0.518456080149308535373415960465362834114592307865652913411055887884781379920999471884579073592970836298017154661035313256829931268149209126576672109602273999606700000000000000000000 +/- 5.59e-182],[0.518456080151308535382365013810948878486931837083805078823958719916031379920999471884579073592970836298017154661035313256829931268149209126576672109602273999606700000000000000000000 +/- 5.59e-182],[0.518456080150308535377746358000586635339406995058811253471014500162893990659389247972876440688918101923017154661035313256829931268149209126576672109602273999606702628613077858366821 +/- 6.58e-182],[0.518456080150308535378034616275725077262117149890646738764000107637918769182609695796281706497023570673017154661035313256829931268149209126576672109602273999606702628613077858366821 +/- 6.58e-182]
2,3,E,0.10500586736550084106020059678236969892735460435058786751587701153463130755249888,1.0e-12,[0.105005867364500841055726070109576676741184839741511784809425595519006307552498880325858980148818393358917008924031584865357951070557132729050597786110583884738900000000000000000000 +/- 5.34e-183],[0.105005867366500841064675123455162721113524368959663950222328427550256307552498880325858980148818393358917008924031584865357951070557132729050597786110583884738900000000000000000000 +/- 5.34e-183],[0.105005867365500841058460181930199245838835445912173046229324719533427284443914074002807527512099643358917008924031584865357951070557132729050597786110583884738906889606602232346926 +/- 2.41e-181],[0.105005867365500841061941011634540152015873762789002688802429303535835330661083686648910432785537143358917008924031584865357951070557132729050597786110583884738906889606602232346926 +/- 2.41e-181]
3,4,y_1,0.0048599089693236346170030722197850592144754335708595227384202013799336635694224898,1.0e-12,[0.00485990896832363461252854554699203702830566896178344003196878536430866356942248984611335331271232966765950370230663687022098961742074872004969606568225723621588900000000000000000000 +/- 1.13e-184],[0.00485990897032363462147759889257808140064519817993560544487161739555866356942248984611335331271232966765950370230663687022098961742074872004969606568225723621588900000000000000000000 +/- 1.13e-184],[0.00485990896932363461617847958454960575720446067151898342278155290339733151460211246645751530001701716765950370230663687022098961742074872004969606568225723621588887064496409173382125 +/- 1.11e-183],[0.00485990896932363461782766485502051267174640647020006205405884985646999562424286722576919132540764216765950370230663687022098961742074872004969606568225723621588887064496409173382125 +/- 1.11e-183]
3,4,y_2,0.17964236881321444545378936613101973836056415496750524689574447620641597661065639,1.0e-12,[0.179642368812214445449314839458226716174394390358429164189293060190790976610656385938775337640233108229393956988475643987579921730317989056735361641185225581737400000000000000000000 +/- 3.73e-183],[0.179642368814214445458263892803812760546733919576581329602195892222040976610656385938775337640233108229393956988475643987579921730317989056735361641185225581737400000000000000000000 +/- 3.73e-183],[0.179642368813214445446546232884092782278112895746837699459188221170349544825654035131585396233983108229393956988475643987579921730317989056735361641185225581737375918452687113672916 +/- 5.44e-182],[0.179642368813214445461032499377946694443015414188172794332300731242482408395658736745965279046483108229393956988475643987579921730317989056735361641185225581737375918452687113672916 +/- 5.44e-182]
3,4,y_3,0.76233019712022900953134456743541076381435970697601507249677656334726105428974492,1.0e-12,[0.762330197119229009526870040762617741628189942366938989790325147331636054289744916834745761582424009235060580520724921185192339954736432280955120418392086190126900000000000000000000 +/- 7.02e-183],[0.762330197121229009535819094108203786000529471585091155203227979362886054289744916834745761582424009235060580520724921185192339954736432280955120418392086190126900000000000000000000 +/- 7.02e-183],[0.762330197120229009528690485688126251416942049896253392041433409807645312824504199900541660019924009235060580520724921185192339954736432280955120418392086190126885723067605675303391 +/- 2.53e-181],[0.762330197120229009533998649182695276211777364055776752952119716886876795754985633768949863144924009235060580520724921185192339954736432280955120418392086190126885723067605675303391 +/- 2.53e-181]
3,4,w_1,0.1733930820180607016584918338300174216168551533929352656932018770511355922644214,1.0e-12,[0.173393082017060701654017307157224399430685388783859182986750461035510592264421403800107751295959352540853580251792270389879973353444872548637647210575534122993200000000000000000000 +/- 1.50e-182],[0.173393082019060701662966360502810443803024918002011348399653293066760592264421403800107751295959352540853580251792270389879973353444872548637647210575534122993200000000000000000000 +/- 1.50e-182],[0.173393082018060701644975379503474170883020838720491732836696833013659410280473649893857751295959352540853580251792270389879973353444872548637647210575534122993216774785312036315455 +/- 9.79e-182],[0.173393082018060701672008288156560672350689468065378798549706921088611774248369157706357751295959352540853580251792270389879973353444872548637647210575534122993216774785312036315455 +/- 9.79e-182]
3,4,w_2,0.51083400326403967448875760757465357123846881767763461216317665445356366446343288,1.0e-12,[0.510834003263039674484283080901860549052299053068558529456725238437938664463432878800402810421025378105814202768360153477508253665722440060731261723197089700473700000000000000000000 +/- 1.76e-182],[0.510834003265039674493232134247446593424638582286710694869628070469188664463432878800402810421025378105814202768360153477508253665722440060731261723197089700473700000000000000000000 +/- 1.76e-182],[0.510834003264039674478942818977732639971834250978833395682646702473702739114957303353320290889775378105814202768360153477508253665722440060731261723197089700473718070863236148492047 +/- 4.91e-181],[0.510834003264039674498572396171574502505103384376435828643706606433424589811908454247485329952275378105814202768360153477508253665722440060731261723197089700473718070863236148492047 +/- 4.91e-181]
