n,k,variable,center,radius,lower,upper,krawczyk_lower,krawczyk_upper
2,3,y_1,0.023975033032059214540251855711267217366943062499349716526051770495308074024892993,1.0e-12,[0.0239750330310592145357773290384741951807732978902736338196003544796830740248929931670251924649618889521127212511777657109870799729585372454897936180248681696027700000000000000000000 +/- 2.62e-184],[0.0239750330330592145447263823840602395531128271084257992325031865109330740248929931670251924649618889521127212511777657109870799729585372454897936180248681696027700000000000000000000 +/- 2.62e-184],[0.0239750330320592146042631887922209208721500648365047254002052320296164114226110303582653665165193529400706607444780282661282466173496432366262094584262301601938754650563176233090844 +/- 2.60e-182],[0.0239750330320592146044085668833659260062676539499680485279992483280472017796990020008787774662263841900706607444780282661282466173496432366262094584262301601938754650563176233090844 +/- 2.60e-182]
2,3,y_2,0.62066646388881819726207794013938434853891234509977731203949452868586507450134607,1.0e-12,[0.620666463887818197257603413466591326352742580490701229333043112670240074501346071597974558661619537022080588544531576953585384004928718015083642508714493775615200000000000000000000 +/- 4.83e-182],[0.620666463889818197266552466812177370725082109708853394745945944701490074501346071597974558661619537022080588544531576953585384004928718015083642508714493775615200000000000000000000 +/- 4.83e-182],[0.620666463888818197321508767031911364749210819914830294827662971834402761207967047165988456833146978436570764179867409192790426567386794003151020196427156190586432433865856801732376 +/- 3.95e-181],[0.620666463888818197321690065566348710768684273469588079402751258172887283483360875915645134079240728436570764179867409192790426567386794003151020196427156190586432433865856801732376 +/- 3.95e-181]
2,3,w_1,0.48154391984969146451867490790955740922062209049078731980355921030376617865023829,1.0e-12,[0.481543919848691464514200381236764387034452325881711237097107794288141178650238286630644043063550885870154474506309322400314188963568402246129232967783914305705600000000000000000000 +/- 8.43e-183],[0.481543919850691464523149434582350431406791855099863402510010626319391178650238286630644043063550885870154474506309322400314188963568402246129232967783914305705600000000000000000000 +/- 8.43e-183],[0.481543919849691464621965383706328335801904647805939623164136757194730204471890850658678205030481053745753221811139837647761082180443783554707565782043230310266731045694304682447335 +/- 6.15e-182],[0.481543919849691464622253642017359948912170839784008758177489138119885875792571845199131162183801366245753221811139837647761082180443783554707565782043230310266731045694304682447335 +/- 6.15e-182]
2,3,w_2,0.51845608015030853548132509209044259077937790950921268019644078969623382134976171,1.0e-12,[0.518456080149308535476850565417649568593208144900136597489989373680608821349761713369355956936449114129845525493690677599685811036431597753870767032216085694294400000000000000000000 +/- 5.19e-182],[0.518456080151308535485799618763235612965547674118288762902892205711858821349761713369355956936449114129845525493690677599685811036431597753870767032216085694294400000000000000000000 +/- 5.19e-182],[0.518456080150308535377746357982442835861523907264638309681190165322695822598650899049676268083532618129246778188860162352238917819556216445292434217956769689733268954305695317552665 +/- 1.16e-183],[0.518456080150308535378034616293868879424400605145413308977183939362688097136886405092514364702184961879246778188860162352238917819556216445292434217956769689733268954305695317552665 +/- 1.16e-183]
2,3,E,0.10500586736550082729180301103392761423667539340035515754963409918373598588166931,1.0e-12,[0.105005867364500827287328484361134592050505628791279074843182683168110985881669313325566852651591126628069329245753298709372736024728565571501960310351452742313200000000000000000000 +/- 6.74e-183],[0.105005867366500827296277537706720636422845158009431240256085515199360985881669313325566852651591126628069329245753298709372736024728565571501960310351452742313200000000000000000000 +/- 6.74e-183],[0.105005867365500841058460181744028060461801407510759673046655393648711267920153468745595829982646191288953637927756571436306183471248247703751401577010312035378720301126509119012069 +/- 4.31e-181],[0.105005867365500841061941011820711313903157296541925198433235078056872751508781939643270390529521191288953637927756571436306183471248247703751401577010312035378720301126509119012069 +/- 4.31e-181]
3,4,y_1,0.0048599089693236345845311857129801052820443777463288373791854851612265450144839294,1.0e-12,[0.00485990896832363458005665904018708309587461313725275467273406914560154501448392938344214180837149889135563582940387838915609458571020964968653054982935190179051900000000000000000000 +/- 4.26e-184],[0.00485990897032363458900571238577312746821414235540492008563690117685154501448392938344214180837149889135563582940387838915609458571020964968653054982935190179051900000000000000000000 +/- 4.26e-184],[0.00485990896932363461617847937944577276198252197390958791239089496791099374416915582682034918377829342188603596646421563191753205157096833728786410741415884855063336894275852239517462 +/- 2.53e-184],[0.00485990896932363461782766506012435039145060658668952049071703135105100411050187306667706915448141842188603596646421563191753205157096833728786410741415884855063336894275852239517462 +/- 2.53e-184]
3,4,y_2,0.17964236881321444502360933488350257946501160430123696964032991819421537918782349,1.0e-12,[0.179642368812214445019134808210709557278841839692160886933878502178590379187823488281203619352752058165313554400164815046375165324735274082364036228317809713713600000000000000000000 +/- 1.08e-182],[0.179642368814214445028083861556295601651181368910313052346781334209840379187823488281203619352752058165313554400164815046375165324735274082364036228317809713713600000000000000000000 +/- 1.08e-182],[0.179642368813214445446546231268505664194231915534018575234149169674794356119721289576510743399578483217092067175021121298430962356100083049096407553879747618835989660912329039764650 +/- 1.68e-181],[0.179642368813214445461032500993533844144398788941793873505554076488380777896284218729953126212078483217092067175021121298430962356100083049096407553879747618835989660912329039764650 +/- 1.68e-181]
3,4,y_3,0.76233019712022900937611449104479201206718168437715815866931618379150663557215435,1.0e-12,[0.762330197119229009371639964371998989881011919768082075962864767775881635572154352548056881522191689006439251263620712142620127425869204989656894404445310174966200000000000000000000 +/- 5.02e-182],[0.762330197121229009380589017717585034253351448986234241375767599807131635572154352548056881522191689006439251263620712142620127425869204989656894404445310174966200000000000000000000 +/- 5.02e-182],[0.762330197120229009528690485116990961429027818922873820626249463343897765339853248855773203301938837134161945288667267506812127231036048479347160961058359508211130894614715891610131 +/- 3.77e-181],[0.762330197120229009533998649753830576983888227318580144066410230989932166308199993631545298028501337134161945288667267506812127231036048479347160961058359508211130894614715891610131 +/- 3.77e-181]
3,4,w_1,0.17339308201806070086741183092565833759112151390916513841519983938081139667575237,1.0e-12,[0.173393082017060700862937304252865315404951749300089055708748423365186396675752371590919818836652883744717357394573742512159554488157209437201853827381559183876900000000000000000000 +/- 3.60e-183],[0.173393082019060700871886357598451359777291278518241221121651255396436396675752371590919818836652883744717357394573742512159554488157209437201853827381559183876900000000000000000000 +/- 3.60e-183],[0.173393082018060701644975376385895905870410476351100246853538816760116925498474287679449151048530163640942091280834772765465172722660905169669008729646110770207828866507182165640019 +/- 1.51e-181],[0.173393082018060701672008291274139002204956415670289892561691264172092952568087625196233819017280163640942091280834772765465172722660905169669008729646110770207828866507182165640019 +/- 1.51e-181]
3,4,w_2,0.51083400326403967504621074170587717143900944249917992649480399787637853254034066,1.0e-12,[0.510834003263039675041736215033084149252839677890103843788352581860753532540340664744797312486370444041819658078330919588205623782988734990338717787997543362840900000000000000000000 +/- 4.02e-182],[0.510834003265039675050685268378670193625179207108256009201255413892003532540340664744797312486370444041819658078330919588205623782988734990338717787997543362840900000000000000000000 +/- 4.02e-182],[0.510834003264039674478942816781543855604851622397618061424738749206285797074795033379017522409652936938032429106452290877175345694880765631911489150194671324142118182553033326610885 +/- 3.84e-181],[0.510834003264039674498572398367763238408714488327725145880352379986421078458786274834095647409652936938032429106452290877175345694880765631911489150194671324142118182553033326610885 +/- 3.84e-181]
