rho,tau,selected_k,runner_up_k,selected_risk,runner_up_risk,risk_margin
1.1,0.01,4,3,1.690179787408726,2.214827272856573,0.5246474854478469
1.1,100.0,4,3,1.7309096327544533,2.2173070781275888,0.48639744537313545
1.1,100000.0,2,0,3.058015272999166,3.3217197950816137,0.26370452208244766
1.1,10000000.0,0,1,3.3767259195369173,4.547507746360015,1.1707818268230978
1.25,0.1,4,3,0.2960923226997736,0.4701599272075998,0.1740676045078262
1.25,100.0,4,3,0.336785507518637,0.47263750043066705,0.13585199291203004
1.25,100000.0,2,1,0.9072227343589051,1.1028066911614758,0.19558395680257068
1.25,10000000.0,0,1,1.5050286524599734,2.010812713532431,0.5057840610724575
1.5,0.1,4,3,0.04496497850918496,0.09598811750157628,0.05102313899239132
1.5,100.0,4,3,0.08565816332804838,0.09846569072464353,0.012807527396595159
1.5,10000.0,2,3,0.21974793346408467,0.3439909650826596,0.12424303161857492
1.5,10000000.0,0,1,0.9668036876398705,1.3126431995911338,0.3458395119512634
2.0,0.01,4,3,0.0033409226856614413,0.01184510236069018,0.008504179675028738
2.0,10.0,4,3,0.007410241167547783,0.012092859682996907,0.004682618515449124
2.0,10000.0,2,1,0.05660453227205236,0.13839693257828461,0.08179240030623225
2.0,10000000.0,0,1,0.7310519770208623,1.054657555152612,0.3236055781317497
3.0,0.01,4,3,0.00011586702432866721,0.0008497642771839141,0.0007338972528552469
3.0,10.0,3,4,0.0010975215994906394,0.004185185506215008,0.0030876639067243692
3.0,1000.0,2,3,0.007898226650175158,0.025650049035292246,0.017751822385117088
3.0,1000000.0,1,0,0.13831942983749812,0.5804451227664255,0.44212569292892734
5.0,0.01,4,3,5.8518121872076636e-06,3.6824482321903423e-05,3.097267013469576e-05
5.0,1.0,3,4,6.137700975770503e-05,0.00040911760768945775,0.00034774059793175275
5.0,1000.0,2,1,0.0022553187446010085,0.014997465853991481,0.012742147109390473
5.0,1000000.0,1,0,0.10662352811142423,0.5406729145063395,0.43404938639491525
